address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
,accommodation,31052,52.356347,4.997105,Amsterdam,Kos,4e64ba6818a8ce02fdd4b1ce,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=31052,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31052
"De Tuin van AJ & Kristel",accommodation,31056,52.355473708753,4.9932861328125,Amsterdam,Hawaijburg,4c6669119cb82d7fbe8b90d2,0,Resort,http://tour-pedia.org/api/getPlaceDetails?id=31056,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31056
,accommodation,31167,52.382517,4.791104,Amsterdam,"Perfect House In Amsterdam!",527011a3498e754b851a3efd,0,"Bed & Breakfast",http://tour-pedia.org/api/getPlaceDetails?id=31167,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31167
,accommodation,31176,52.350272159742,4.7806079636587,Amsterdam,"Huize Verel",4e39479eae60f589a5d91d35,0,Resort,http://tour-pedia.org/api/getPlaceDetails?id=31176,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31176
"Lambertus Zijlpelin",accommodation,31248,52.38013065,4.80258218,Amsterdam,"d' R.C : Dream Academy",4d87dc29d85f3704d1f8c5db,0,Resort,http://tour-pedia.org/api/getPlaceDetails?id=31248,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31248
,accommodation,31251,52.365450000795,4.794791189666,Amsterdam,"Pat & San Car",4dfddb0cd4c001cca3713c78,0,"Home (private)",http://tour-pedia.org/api/getPlaceDetails?id=31251,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31251
,accommodation,31256,52.354855674586,4.7929539070511,Amsterdam,"Rumah RoRo",4caced0d14c33704ef77f43b,0,"Home (private)",http://tour-pedia.org/api/getPlaceDetails?id=31256,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31256
,accommodation,31262,52.356518154897,4.7973551923059,Amsterdam,"Ferrari Fire Force : Working Station",4e29a56a18384dd0a0ed6912,0,Resort,http://tour-pedia.org/api/getPlaceDetails?id=31262,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31262
"Martini van Geffenstraat Amsterdam Amsterdam (Noor",accommodation,31271,52.358589,4.800897,Amsterdam,"Lely Guesthouse Hotel Amsterdam",4bd0f8fa20cd996040982e9e,0,Hostel,http://tour-pedia.org/api/getPlaceDetails?id=31271,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31271
"Moeselhavenweg 79",accommodation,31356,52.394340631443,4.8188996315002,Amsterdam,"Garage penthouse",509beba6e4b0470d2539f505,0,"Roof Deck",http://tour-pedia.org/api/getPlaceDetails?id=31356,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31356
"Slotermeerlaan 59, 1064 Άμστερνταμ",accommodation,31371,52.376476398493,4.8190693869518,Amsterdam,"B&B Tulip Inn",4f7627ffe4b067aa2e5b611f,0,"Bed & Breakfast",http://tour-pedia.org/api/getPlaceDetails?id=31371,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31371
,accommodation,31459,52.388859487638,4.8243721925345,Amsterdam,"amsterdam sloterdijlk",4dcd98ad1f6eb12270656260,0,"Travel & Transport",http://tour-pedia.org/api/getPlaceDetails?id=31459,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31459
Louwesweg,accommodation,31492,52.346762,4.824713,Amsterdam,"Halte Louwesweg",4c987e512778224ba866a468,0,Resort,http://tour-pedia.org/api/getPlaceDetails?id=31492,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31492
"Burgemeester Roellstraat",accommodation,31541,52.375154,4.83315,Amsterdam,"Lavatory SUMA",4de40d66ae60e7f3ac15e0e5,0,Resort,http://tour-pedia.org/api/getPlaceDetails?id=31541,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31541
,accommodation,31586,52.342655906111,4.8305957305225,Amsterdam,"Henk Sneevlietweg",50b245eae4b0428a10e847e3,0,"Home (private)",http://tour-pedia.org/api/getPlaceDetails?id=31586,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31586
31598,"Meininger Hotel Amsterdam","Orlyplein 1",accommodation,Amsterdam,52.390625623487,4.8372803380569,http://tour-pedia.org/api/getPlaceDetails?id=31598,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31598
,accommodation,31602,52.390759,4.837317,Amsterdam,"Meininger Room 115",50d8f936e4b0cc0bdbaeac03,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=31602,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31602
,accommodation,31637,52.3865541171,4.8412464024229,Amsterdam,"Holiday Inn Sloterdik",51bd655e498e400226383336,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=31637,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31637
Staalmeesterlaan,accommodation,31665,52.365842789204,4.8427865129909,Amsterdam,"14hoog bij Heleen&peter",4c4dc17bfb742d7fe4df422d,0,"Strip Club",http://tour-pedia.org/api/getPlaceDetails?id=31665,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31665
"Hendrikje Stoffelstraat 1",accommodation,31671,52.363088177288,4.8424416324216,Amsterdam,"Fasion Hotel",4d2f8f7dd902236a7e2a4be4,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=31671,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31671
"Voorburgstraat 250",accommodation,31680,52.348997187115,4.8426260401684,Amsterdam,"HEM Hotel",4a27065ff964a520c58a1fe3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=31680,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31680
"Beursstraat 21",accommodation,31712,52.38874,4.83822,Amsterdam,"Hotel Ben",4a270691f964a5204f8b1fe3,0,Hostel,http://tour-pedia.org/api/getPlaceDetails?id=31712,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31712
Lucellestraat,accommodation,31720,52.380944310149,4.8489831476636,Amsterdam,"Maison Joie de Vivre",51fa3bde498e241bafad2e35,0,Resort,http://tour-pedia.org/api/getPlaceDetails?id=31720,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31720
,accommodation,31724,52.38067970461,4.8481880793985,Amsterdam,"Markino's 5 ***** Resort",4d96ddba9079b1f7d997040a,0,Resort,http://tour-pedia.org/api/getPlaceDetails?id=31724,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31724
,accommodation,31740,52.369598,4.849492,Amsterdam,"Orteliusstraat 184-3",522e201c11d2a6f810e27ba2,0,"Roof Deck",http://tour-pedia.org/api/getPlaceDetails?id=31740,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31740
"Titus van Rijnstraat",accommodation,31745,52.357446947231,4.8454717644354,Amsterdam,besthotelfordogs.com,51e96bcc498efee22a2dee56,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=31745,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31745
"Nachtwachtlaan 11, Amsterdam, Netherlands, 1058 EV",accommodation,31748,52.357660143524,4.8447188115051,Amsterdam,"Bastion Hotel Amsterdam",5198e2e4498e5de527144d95,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=31748,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31748
,accommodation,31821,52.362379671032,4.8519260335898,Amsterdam,"Casa Kayzel-Martinez",502134a2e4b089949d694c71,0,Resort,http://tour-pedia.org/api/getPlaceDetails?id=31821,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31821
,accommodation,31828,52.354501987387,4.8531306294395,Amsterdam,"Bed and Breakfast Amsterdam",4e73f636a809582dd546c2de,0,"Bed & Breakfast",http://tour-pedia.org/api/getPlaceDetails?id=31828,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31828
"Havenstraat 3a Loods 22",accommodation,31839,52.346930497088,4.8522721926536,Amsterdam,MR4Cycles.nl,50afb653e4b08847dab500e4,0,"Bike Shop",http://tour-pedia.org/api/getPlaceDetails?id=31839,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31839
