,address,id,lat,lng,location,name,subCategory,details
1,Diemerparklaan,28331,52.352236531042,4.987964630127,Amsterdam,Diemerpark,Park,http://tour-pedia.org/api/getPlaceDetails?id=28331
6,krijn taconiskade,28336,52.353173633184,5.0047123432159,Amsterdam,Jachthaven ijburg,Surf Spot,http://tour-pedia.org/api/getPlaceDetails?id=28336
11,Talbotstraat,28341,52.357249384329,4.9957458829493,Amsterdam,Speeltuin Talbotstraat,Playground,http://tour-pedia.org/api/getPlaceDetails?id=28341
13,Emmy Andriessestraat,28344,52.350178768514,5.0053882598877,Amsterdam,Theo van Goghpark,Park,http://tour-pedia.org/api/getPlaceDetails?id=28344
16,IJburg buitenom,28347,52.355692244205,4.9947434363994,Amsterdam,Rondje IJburg,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28347
17,Amsterdam,28348,52.356341851732,4.9945360563473,Amsterdam,2013,Arcade,http://tour-pedia.org/api/getPlaceDetails?id=28348
18,Cas Oorthuyskade,28350,52.36073854996,4.9907092442671,Amsterdam,Haveneiland,Neighborhood,http://tour-pedia.org/api/getPlaceDetails?id=28350
19,Egelkopstraat,28353,52.35313,4.996105,Amsterdam,Glijbaan Egelkopstraat,Playground,http://tour-pedia.org/api/getPlaceDetails?id=28353
21,Diemerpark,28355,52.355837716039,4.9795123384286,Amsterdam,AHC IJburg (hockeyclub),Field,http://tour-pedia.org/api/getPlaceDetails?id=28355
24,Krijn Taconiskade,28359,52.353161032779,5.0056608999175,Amsterdam,Haven IJburg,Harbor / Marina,http://tour-pedia.org/api/getPlaceDetails?id=28359
25,KRIJN TACONISKADE 444- bg,28360,52.353834,5.006561,Amsterdam,Amsterdam Dance Centre IJburg,Dance Studio,http://tour-pedia.org/api/getPlaceDetails?id=28360
26,Bert Haanstrakade,28362,52.353991,5.000551,Amsterdam,Brug jachthaven IJburg,Bridge,http://tour-pedia.org/api/getPlaceDetails?id=28362
30,Joris Ivensplein,28370,52.359027,4.990614,Amsterdam,Magic Circus op IJburg,General Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=28370
31,Paul Hufkade,28371,52.357488240271,4.9896737587739,Amsterdam,Nijlpaard sluis,Lake,http://tour-pedia.org/api/getPlaceDetails?id=28371
32,Bert Haanstrakade,28372,52.360677045178,4.9903369280245,Amsterdam,De 100m Rode Bank,Public Art,http://tour-pedia.org/api/getPlaceDetails?id=28372
34,Ijburg,28374,52.350211052712,5.0002149741818,Amsterdam,Strand Ijburg,Beach,http://tour-pedia.org/api/getPlaceDetails?id=28374
35,Diemerpark,28375,52.354438361914,4.9868488311768,Amsterdam,Diemerstrandje,Beach,http://tour-pedia.org/api/getPlaceDetails?id=28375
38,Theo van Goghpark,28384,52.350195275823,5.0058370270675,Amsterdam,Stormbaan,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=28384
40,Ijburglaan 586,28388,52.35782,4.9898743629456,Amsterdam,Zanzibar Bar Privé,Bar,http://tour-pedia.org/api/getPlaceDetails?id=28388
42,Ruigoord,28395,52.410513,4.748247,Amsterdam,Shoeless open air Ruigoord,Music Venue,http://tour-pedia.org/api/getPlaceDetails?id=28395
44,Ruigoord,28397,52.409847718478,4.7493875026703,Amsterdam,Spacen als planeten,Theme Park,http://tour-pedia.org/api/getPlaceDetails?id=28397
45,Bauduinlaan 35,28398,52.399483529621,4.7459069341715,Amsterdam,Amsterdamse golf club,Golf Course,http://tour-pedia.org/api/getPlaceDetails?id=28398
55,Heining 32,28443,52.397576298414,4.770681174472,Amsterdam,Martin Gaus Hondenschool,Dog Run,http://tour-pedia.org/api/getPlaceDetails?id=28443
62,Lange Bretten,28467,52.385160801083,4.777250289917,Amsterdam,Alex's Hill,Scenic Lookout,http://tour-pedia.org/api/getPlaceDetails?id=28467
