address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
Dubai,accommodation,114402,25.251340813278,55.329597325187,Dubai,"Park Hyatt Dubai pool",4ae2b331f964a520538f21e3,0,"Hotel Pool",http://tour-pedia.org/api/getPlaceDetails?id=114402,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114402
"Sheikh Zayed Rd.",accommodation,114407,25.208202778504,55.27195930481,Dubai,"Shangri-La Hotel",4b0587eaf964a52093a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114407,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114407
"P.O.Box 55777",accommodation,114409,25.276529,55.315724,Dubai,"Golden Tulip Aeroplane Hotel",4b0587eaf964a52095a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114409,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114409
"Sheikh Zayed Rd",accommodation,114412,25.183835552006,55.254771709442,Dubai,"The Metropolitan Hotel Dubai",4b0587eaf964a52098a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114412,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114412
"Jumeirah Rd.",accommodation,114416,25.141477408481,55.190334320068,Dubai,"Jumeirah Beach Hotel فندق جميرا بيتش",4b0587eaf964a520a0a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114416,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114416
"Dubai Investment Park",accommodation,114432,25.271469,55.328498,Dubai,"Marriott Executive Apartments Dubai Green Community (Official Marriott)",4b0587eaf964a520b5a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114432,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114432
"Abu Hail Road",accommodation,114442,25.277549671236,55.347368302464,Dubai,"Ramada Continental Hotel",4b0587ebf964a520c3a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114442,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114442
"Salah Al Din Road, Deira",accommodation,114446,25.270435628929,55.327350555636,Dubai,"Renaissance Dubai Hotel",4b0587ebf964a520c7a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114446,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114446
"Shk. Zayed Road",accommodation,114450,25.088506042751,55.152902710899,Dubai,"Palm Hotel",4b0587ebf964a520cca622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114450,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114450
"Bur Dubai",accommodation,114454,25.255487751791,55.284818778823,Dubai,"Hotel Seaview",4b0587ebf964a520d7a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114454,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114454
"Sheikh Rashid Rd.",accommodation,114458,25.228178323817,55.328092575073,Dubai,"Grand Hyatt Hotel فندق جراند حياة",4b0587ebf964a520dba622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114458,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114458
"Al Mankhool Road",accommodation,114463,25.254917431208,55.293294305268,Dubai,"Panorama Hotel",4b0587ebf964a520e1a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114463,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114463
"Sheikh Zayed Road",accommodation,114464,25.171900895015,55.270741529216,Dubai,"Bab Al Shams Desert Resort & Spa",4b0587ebf964a520e2a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114464,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114464
