address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"116 Piccadilly",accommodation,35081,51.504602012166,-0.14752233002286,London,"The Athenaeum‬‪‬‪‬ Hotel",4ac51183f964a52045a020e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=35081,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35081
"47 Lillie Rd",accommodation,35092,51.485900737306,-0.19929796455745,London,"Ibis Hotel",4ac518b4f964a52075a020e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=35092,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35092
"1 Shortlands",accommodation,35093,51.492138225205,-0.22060462724918,London,Novotel,4ac518b4f964a52076a020e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=35093,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35093
"1 Woolwich Manor Way",accommodation,35094,51.51516312804,0.062410908871232,London,"Travel Inn",4ac518b4f964a52079a020e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=35094,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35094
"3 Cardington St.",accommodation,35095,51.52770282863,-0.13535499572754,London,"Ibis Hotel",4ac518b4f964a5207aa020e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=35095,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35095
"113 Lambeth Road",accommodation,35098,51.494559125395,-0.11880226857723,London,Novotel,4ac518b4f964a5207da020e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=35098,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35098
"66 Knightsbridge",accommodation,35099,51.502064412827,-0.16002755148502,London,"Mandarin Oriental",4ac518b4f964a5207fa020e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=35099,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35099
35110,"Holiday Inn","1 KINGS CROSS ROAD",accommodation,London,51.526346401323,-0.11369923827948,http://tour-pedia.org/api/getPlaceDetails?id=35110,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35110
"29/33 Norfolk Square",accommodation,35127,51.3424777,-0.0709236,London,"Norfolk Plaza Hotel",4ac518b5f964a520bea020e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=35127,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35127
"30 Leinster Gardens",accommodation,35143,51.512906331586,-0.18365541755963,London,"The Blakemore Hotel",4ac518b6f964a52011a120e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=35143,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35143
