id,name,address,category,location,lat,lng,details,reviews
217941,"Snooker World","Al Ittihad Road, Al Khabisi , Dubai, P.O.Box: 87979 , United Arab Emirates",attraction,Dubai,25.26768272914,55.340213710261,http://tour-pedia.org/api/getPlaceDetails?id=217941,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=217941
"Sheikh Zayed Road",attraction,114404,25.226606023736,55.283846855164,Dubai,"Fairmont Dubai",4b0587eaf964a52090a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114404,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114404
"Al Sofouh Road",attraction,114415,25.0852879577,55.139737129211,Dubai,"Le Royal Méridien Beach Resort & Spa",4b0587eaf964a5209fa622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114415,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114415
"Exit 13, Sheikh Zayed Road",attraction,114436,24.987638,55.023284,Dubai,"Jebel Ali Golf Resort [Official Listing]",4b0587eaf964a520bda622e3,0,Resort,http://tour-pedia.org/api/getPlaceDetails?id=114436,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114436
"Al Sufouh, Jumeira Beach Road",attraction,114449,25.095441662977,55.150594711304,Dubai,"One and Only Royal Mirage Resort فندق رويال ميراج",4b0587ebf964a520cba622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114449,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114449
114457,"Dubai Marine Beach Resort & SPA","Jumeirah Beach Road",attraction,Dubai,25.234418795877,55.262507200241,http://tour-pedia.org/api/getPlaceDetails?id=114457,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114457
"Jumeirah Beach Road, Next to Wild Wadi",attraction,114460,25.133357570443,55.186579227448,Dubai,"Madinat Jumeirah مدينة جميرا",4b0587ebf964a520dea622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114460,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114460
"The Walk, Jumeirah Beach Residence",attraction,114465,25.073724339255,55.130338668823,Dubai,"Amwaj Rotana",4b0587ebf964a520e7a622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114465,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114465
"Capitol Hotel",attraction,114470,25.241846,55.275347,Dubai,"Bazerkan Resturant",4b0587ecf964a52001a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114470,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114470
"Baniyas Street/Creek Road",attraction,114471,25.261825915824,55.313784764314,Dubai,"Chelsea Arms",4b0587ecf964a52002a722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114471,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114471
"Jumeirah Beach Rd.",attraction,114472,25.133241013814,55.186257362366,Dubai,BarZar,4b0587ecf964a52004a722e3,0,Pub,http://tour-pedia.org/api/getPlaceDetails?id=114472,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114472
"Airport Road",attraction,114473,25.241177,55.369374,Dubai,"Al Pasha Restaurant & Keyclub",4b0587ecf964a52005a722e3,0,"Wine Bar",http://tour-pedia.org/api/getPlaceDetails?id=114473,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114473
